P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,median_burst,average_burst,average_max_burst,sqrt_median_HB_burst,average_median_burst,sqrt_average_median_burst,average_median_max,sqrt_median_max
"(21, 0)","(9, 0)","(1, 2)","(4, 7)","(35, 0)","(17, 6)","(10, 6)","(6, 4)","(19, 3)","(30, 3)","(91.9, 85.8, 41.9, 16, 675.09)","(97.0, 90.8, 46.9, 15, 859.49)","(93.0, 82.8, 64.9, 11, 1685.49)","(88.6, 77.6, 60.5, 11, 1434.05)","(94.8, 89.4, 44.4, 16, 764.44)","(94.8, 89.4, 44.4, 16, 764.44)","(91.9, 81.5, 63.8, 11, 1620.56)","(88.6, 77.6, 60.5, 11, 1434.05)"
"(21, 0)","(9, 0)","(1, 2)","(4, 7)","(35, 0)","(17, 6)","(10, 6)","(6, 4)","(19, 3)","(30, 3)","(91.9, 85.8, 41.9, 16, 675.09)","(97.0, 90.8, 46.9, 15, 859.49)","(93.0, 82.8, 64.9, 11, 1685.49)","(88.6, 77.6, 60.5, 11, 1434.05)","(94.8, 89.4, 44.4, 16, 764.44)","(94.8, 89.4, 44.4, 16, 764.44)","(91.9, 81.5, 63.8, 11, 1620.56)","(88.6, 77.6, 60.5, 11, 1434.05)"
"(21, 0)","(9, 0)","(1, 2)","(4, 7)","(35, 0)","(17, 6)","(10, 6)","(6, 4)","(19, 3)","(30, 3)","(91.9, 85.8, 41.9, 16, 675.09)","(97.0, 90.8, 46.9, 15, 859.49)","(93.0, 82.8, 64.9, 11, 1685.49)","(88.6, 77.6, 60.5, 11, 1434.05)","(94.8, 89.4, 44.4, 16, 764.44)","(94.8, 89.4, 44.4, 16, 764.44)","(91.9, 81.5, 63.8, 11, 1620.56)","(88.6, 77.6, 60.5, 11, 1434.05)"
"(21, 0)","(9, 0)","(1, 2)","(4, 7)","(35, 0)","(17, 6)","(10, 6)","(6, 4)","(19, 3)","(30, 3)","(91.9, 85.8, 41.9, 16, 675.09)","(97.0, 90.8, 46.9, 15, 859.49)","(93.0, 82.8, 64.9, 11, 1685.49)","(88.6, 77.6, 60.5, 11, 1434.05)","(94.8, 89.4, 44.4, 16, 764.44)","(94.8, 89.4, 44.4, 16, 764.44)","(91.9, 81.5, 63.8, 11, 1620.56)","(88.6, 77.6, 60.5, 11, 1434.05)"
"(21, 0)","(9, 0)","(1, 2)","(4, 7)","(35, 0)","(17, 6)","(10, 6)","(6, 4)","(19, 3)","(30, 3)","(91.9, 85.8, 41.9, 16, 675.09)","(97.0, 90.8, 46.9, 15, 859.49)","(93.0, 82.8, 64.9, 11, 1685.49)","(88.6, 77.6, 60.5, 11, 1434.05)","(94.8, 89.4, 44.4, 16, 764.44)","(94.8, 89.4, 44.4, 16, 764.44)","(91.9, 81.5, 63.8, 11, 1620.56)","(88.6, 77.6, 60.5, 11, 1434.05)"
"(21, 0)","(9, 0)","(1, 2)","(4, 7)","(35, 0)","(17, 6)","(10, 6)","(6, 4)","(19, 3)","(30, 3)","(91.9, 85.8, 41.9, 16, 675.09)","(97.0, 90.8, 46.9, 15, 859.49)","(93.0, 82.8, 64.9, 11, 1685.49)","(88.6, 77.6, 60.5, 11, 1434.05)","(94.8, 89.4, 44.4, 16, 764.44)","(94.8, 89.4, 44.4, 16, 764.44)","(91.9, 81.5, 63.8, 11, 1620.56)","(88.6, 77.6, 60.5, 11, 1434.05)"
"(21, 0)","(9, 0)","(1, 2)","(4, 7)","(35, 0)","(17, 6)","(10, 6)","(6, 4)","(19, 3)","(30, 3)","(91.9, 85.8, 41.9, 16, 675.09)","(97.0, 90.8, 46.9, 15, 859.49)","(93.0, 82.8, 64.9, 11, 1685.49)","(88.6, 77.6, 60.5, 11, 1434.05)","(94.8, 89.4, 44.4, 16, 764.44)","(94.8, 89.4, 44.4, 16, 764.44)","(91.9, 81.5, 63.8, 11, 1620.56)","(88.6, 77.6, 60.5, 11, 1434.05)"
"(21, 0)","(9, 0)","(1, 2)","(4, 7)","(35, 0)","(17, 6)","(10, 6)","(6, 4)","(19, 3)","(30, 3)","(91.9, 85.8, 41.9, 16, 675.09)","(97.0, 90.8, 46.9, 15, 859.49)","(93.0, 82.8, 64.9, 11, 1685.49)","(88.6, 77.6, 60.5, 11, 1434.05)","(94.8, 89.4, 44.4, 16, 764.44)","(94.8, 89.4, 44.4, 16, 764.44)","(91.9, 81.5, 63.8, 11, 1620.56)","(88.6, 77.6, 60.5, 11, 1434.05)"
"(0, 0)","(1, 1)","(5, 3)","(0, 4)","(4, 2)","(2, 2)","(2, 0)","(5, 1)","(2, 2)","(4, 3)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)"
"(0, 0)","(1, 1)","(5, 3)","(0, 4)","(4, 2)","(2, 2)","(2, 0)","(5, 1)","(2, 2)","(4, 3)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)"
"(0, 0)","(1, 1)","(5, 3)","(0, 4)","(4, 2)","(2, 2)","(2, 0)","(5, 1)","(2, 2)","(4, 3)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)"
"(0, 0)","(1, 1)","(5, 3)","(0, 4)","(4, 2)","(2, 2)","(2, 0)","(5, 1)","(2, 2)","(4, 3)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)"
"(0, 0)","(1, 1)","(5, 3)","(0, 4)","(4, 2)","(2, 2)","(2, 0)","(5, 1)","(2, 2)","(4, 3)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)"
"(0, 0)","(1, 1)","(5, 3)","(0, 4)","(4, 2)","(2, 2)","(2, 0)","(5, 1)","(2, 2)","(4, 3)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)"
"(0, 0)","(1, 1)","(5, 3)","(0, 4)","(4, 2)","(2, 2)","(2, 0)","(5, 1)","(2, 2)","(4, 3)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)"
"(0, 0)","(1, 1)","(5, 3)","(0, 4)","(4, 2)","(2, 2)","(2, 0)","(5, 1)","(2, 2)","(4, 3)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)","(10.7, 9.4, 4.7, 15, 15.21)","(10.7, 9.4, 4.7, 15, 15.21)","(11.5, 10.2, 5.9, 13, 26.69)","(11.5, 10.2, 5.9, 13, 26.69)"
"(6, 2)","(8, 6)","(2, 5)","(5, 6)","(9, 4)","(8, 0)","(4, 5)","(10, 7)","(9, 0)","(6, 0)","(42.9, 39.7, 23.2, 14, 178.36)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)","(40.8, 37.1, 21.1, 14, 146.29)","(40.8, 37.1, 21.1, 14, 146.29)","(39.1, 34.8, 25.3, 12, 213.81)","(39.1, 34.8, 25.3, 12, 213.81)"
