P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,median_burst,average_burst,average_max_burst,sqrt_median_HB_burst,average_median_burst,sqrt_average_median_burst,average_median_max,sqrt_median_max
50,7,12,1,20,22,15,16,13,10,40.2,41.8,43.2,43.2,41.2,41.2,43.2,43.2
4,12,10,21,7,3,8,2,29,32,23.2,25.4,28.2,26.6,24.2,24.2,27.8,26.6
4,7,2,15,1,32,2,7,23,6,14.3,15.9,18.2,17.4,15.6,15.6,18.1,17.4
7,2,3,8,9,15,4,8,14,11,22.2,22.2,23.4,23.1,22.2,22.2,23.4,23.1
5,6,0,1,1,3,0,1,1,0,1.1,1.1,1.7,1.4,1.1,1.1,1.7,1.4
22,21,12,10,6,19,1,16,8,4,28.1,28.1,31.5,30.9,28.1,28.1,31.5,30.9
4,2,1,6,4,3,6,6,9,1,9.9,9.9,11.1,11.1,9.9,9.9,11.1,11.1
1,1,4,4,13,7,0,1,1,11,3.6,5.6,6.6,5.9,4.6,4.6,6.5,5.9
3,6,16,20,5,15,4,8,5,31,21.4,24.2,27.3,26.0,23.0,22.4,27.2,26.0
43,2,5,17,40,101,16,3,24,8,35.5,41.0,45.8,45.5,38.9,38.3,45.8,45.5
