P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,median_burst,average_burst,average_max_burst,sqrt_median_HB_burst,average_median_burst,sqrt_average_median_burst,average_median_max,sqrt_median_max
"(4, 6)","(1, 7)","(5, 1)","(2, 2)","(0, 15)","(9, 15)","(1, 4)","(21, 6)","(2, 3)","(1, 6)",9.8,11.3,9.7,9.7,10.3,10.3,9.3,9.7
"(1, 3)","(14, 1)","(3, 0)","(0, 1)","(7, 4)","(1, 3)","(1, 5)","(2, 6)","(1, 0)","(2, 3)",8.3,8.8,10.7,9.2,8.7,8.7,10.0,9.2
"(4, 3)","(2, 7)","(0, 8)","(5, 7)","(0, 8)","(2, 13)","(5, 16)","(2, 14)","(0, 11)","(15, 7)",4.5,5.9,7.1,4.8,4.5,4.5,6.4,4.8
"(3, 5)","(4, 8)","(0, 6)","(2, 4)","(6, 5)","(0, 2)","(1, 3)","(0, 2)","(1, 7)","(9, 4)",4.9,5.0,5.8,4.9,5.0,4.9,5.8,4.9
"(4, 4)","(2, 2)","(2, 10)","(1, 4)","(1, 5)","(4, 8)","(8, 14)","(13, 9)","(0, 3)","(1, 3)",5.8,7.0,4.1,4.7,5.8,5.8,5.0,4.7
"(4, 5)","(1, 6)","(0, 1)","(4, 4)","(5, 12)","(0, 11)","(4, 11)","(1, 0)","(1, 2)","(38, 10)",8.3,6.5,9.9,7.8,7.1,10.0,9.5,7.8
"(2, 2)","(1, 1)","(0, 1)","(2, 2)","(5, 1)","(4, 1)","(7, 0)","(20, 2)","(3, 3)","(2, 3)",16.4,16.6,16.0,15.2,17.4,17.4,15.7,15.2
"(13, 12)","(48, 9)","(10, 10)","(46, 2)","(14, 12)","(7, 3)","(19, 5)","(0, 7)","(4, 2)","(0, 6)",67.0,63.6,72.6,63.2,64.7,64.7,68.7,63.2
"(2, 1)","(0, 4)","(4, 1)","(1, 2)","(7, 2)","(6, 3)","(12, 0)","(3, 2)","(2, 0)","(1, 0)",15.2,15.7,15.4,16.5,15.7,15.7,15.4,16.5
"(14, 1)","(9, 3)","(9, 5)","(22, 3)","(3, 1)","(19, 11)","(2, 1)","(51, 6)","(9, 12)","(24, 12)",65.2,63.6,51.6,50.4,67.1,67.1,50.8,50.4
