Processes,Burst time,Arrival time
P1,4,6
P2,1,7
P3,5,1
P4,2,2
P5,0,15
P6,9,15
P7,1,4
P8,21,6
P9,2,3
P10,1,6
Processes,Burst time,Arrival time
P1,4,6
P2,1,7
P3,5,1
P4,2,2
P5,0,15
P6,9,15
P7,1,4
P8,21,6
P9,2,3
P10,1,6
Processes,Burst time,Arrival time
P1,4,6
P2,1,7
P3,5,1
P4,2,2
P5,0,15
P6,9,15
P7,1,4
P8,21,6
P9,2,3
P10,1,6
Processes,Burst time,Arrival time
P1,4,6
P2,1,7
P3,5,1
P4,2,2
P5,0,15
P6,9,15
P7,1,4
P8,21,6
P9,2,3
P10,1,6
Processes,Burst time,Arrival time
P1,4,6
P2,1,7
P3,5,1
P4,2,2
P5,0,15
P6,9,15
P7,1,4
P8,21,6
P9,2,3
P10,1,6
Processes,Burst time,Arrival time
P1,4,6
P2,1,7
P3,5,1
P4,2,2
P5,0,15
P6,9,15
P7,1,4
P8,21,6
P9,2,3
P10,1,6
Processes,Burst time,Arrival time
P1,4,6
P2,1,7
P3,5,1
P4,2,2
P5,0,15
P6,9,15
P7,1,4
P8,21,6
P9,2,3
P10,1,6
Processes,Burst time,Arrival time
P1,4,6
P2,1,7
P3,5,1
P4,2,2
P5,0,15
P6,9,15
P7,1,4
P8,21,6
P9,2,3
P10,1,6
Processes,Burst time,Arrival time
P1,1,3
P2,14,1
P3,3,0
P4,0,1
P5,7,4
P6,1,3
P7,1,5
P8,2,6
P9,1,0
P10,2,3
Processes,Burst time,Arrival time
P1,1,3
P2,14,1
P3,3,0
P4,0,1
P5,7,4
P6,1,3
P7,1,5
P8,2,6
P9,1,0
P10,2,3
Processes,Burst time,Arrival time
P1,1,3
P2,14,1
P3,3,0
P4,0,1
P5,7,4
P6,1,3
P7,1,5
P8,2,6
P9,1,0
P10,2,3
Processes,Burst time,Arrival time
P1,1,3
P2,14,1
P3,3,0
P4,0,1
P5,7,4
P6,1,3
P7,1,5
P8,2,6
P9,1,0
P10,2,3
Processes,Burst time,Arrival time
P1,1,3
P2,14,1
P3,3,0
P4,0,1
P5,7,4
P6,1,3
P7,1,5
P8,2,6
P9,1,0
P10,2,3
Processes,Burst time,Arrival time
P1,1,3
P2,14,1
P3,3,0
P4,0,1
P5,7,4
P6,1,3
P7,1,5
P8,2,6
P9,1,0
P10,2,3
Processes,Burst time,Arrival time
P1,1,3
P2,14,1
P3,3,0
P4,0,1
P5,7,4
P6,1,3
P7,1,5
P8,2,6
P9,1,0
P10,2,3
Processes,Burst time,Arrival time
P1,1,3
P2,14,1
P3,3,0
P4,0,1
P5,7,4
P6,1,3
P7,1,5
P8,2,6
P9,1,0
P10,2,3
Processes,Burst time,Arrival time
P1,4,3
P2,2,7
P3,0,8
P4,5,7
P5,0,8
P6,2,13
P7,5,16
P8,2,14
P9,0,11
P10,15,7
Processes,Burst time,Arrival time
P1,4,3
P2,2,7
P3,0,8
P4,5,7
P5,0,8
P6,2,13
P7,5,16
P8,2,14
P9,0,11
P10,15,7
Processes,Burst time,Arrival time
P1,4,3
P2,2,7
P3,0,8
P4,5,7
P5,0,8
P6,2,13
P7,5,16
P8,2,14
P9,0,11
P10,15,7
Processes,Burst time,Arrival time
P1,4,3
P2,2,7
P3,0,8
P4,5,7
P5,0,8
P6,2,13
P7,5,16
P8,2,14
P9,0,11
P10,15,7
Processes,Burst time,Arrival time
P1,4,3
P2,2,7
P3,0,8
P4,5,7
P5,0,8
P6,2,13
P7,5,16
P8,2,14
P9,0,11
P10,15,7
Processes,Burst time,Arrival time
P1,4,3
P2,2,7
P3,0,8
P4,5,7
P5,0,8
P6,2,13
P7,5,16
P8,2,14
P9,0,11
P10,15,7
Processes,Burst time,Arrival time
P1,4,3
P2,2,7
P3,0,8
P4,5,7
P5,0,8
P6,2,13
P7,5,16
P8,2,14
P9,0,11
P10,15,7
Processes,Burst time,Arrival time
P1,4,3
P2,2,7
P3,0,8
P4,5,7
P5,0,8
P6,2,13
P7,5,16
P8,2,14
P9,0,11
P10,15,7
Processes,Burst time,Arrival time
P1,3,5
P2,4,8
P3,0,6
P4,2,4
P5,6,5
P6,0,2
P7,1,3
P8,0,2
P9,1,7
P10,9,4
Processes,Burst time,Arrival time
P1,3,5
P2,4,8
P3,0,6
P4,2,4
P5,6,5
P6,0,2
P7,1,3
P8,0,2
P9,1,7
P10,9,4
Processes,Burst time,Arrival time
P1,3,5
P2,4,8
P3,0,6
P4,2,4
P5,6,5
P6,0,2
P7,1,3
P8,0,2
P9,1,7
P10,9,4
Processes,Burst time,Arrival time
P1,3,5
P2,4,8
P3,0,6
P4,2,4
P5,6,5
P6,0,2
P7,1,3
P8,0,2
P9,1,7
P10,9,4
Processes,Burst time,Arrival time
P1,3,5
P2,4,8
P3,0,6
P4,2,4
P5,6,5
P6,0,2
P7,1,3
P8,0,2
P9,1,7
P10,9,4
Processes,Burst time,Arrival time
P1,3,5
P2,4,8
P3,0,6
P4,2,4
P5,6,5
P6,0,2
P7,1,3
P8,0,2
P9,1,7
P10,9,4
Processes,Burst time,Arrival time
P1,3,5
P2,4,8
P3,0,6
P4,2,4
P5,6,5
P6,0,2
P7,1,3
P8,0,2
P9,1,7
P10,9,4
Processes,Burst time,Arrival time
P1,3,5
P2,4,8
P3,0,6
P4,2,4
P5,6,5
P6,0,2
P7,1,3
P8,0,2
P9,1,7
P10,9,4
Processes,Burst time,Arrival time
P1,4,4
P2,2,2
P3,2,10
P4,1,4
P5,1,5
P6,4,8
P7,8,14
P8,13,9
P9,0,3
P10,1,3
Processes,Burst time,Arrival time
P1,4,4
P2,2,2
P3,2,10
P4,1,4
P5,1,5
P6,4,8
P7,8,14
P8,13,9
P9,0,3
P10,1,3
Processes,Burst time,Arrival time
P1,4,4
P2,2,2
P3,2,10
P4,1,4
P5,1,5
P6,4,8
P7,8,14
P8,13,9
P9,0,3
P10,1,3
Processes,Burst time,Arrival time
P1,4,4
P2,2,2
P3,2,10
P4,1,4
P5,1,5
