P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,median_burst,average_burst,average_max_burst,sqrt_median_HB_burst,average_median_burst,sqrt_average_median_burst,average_median_max,sqrt_median_max
50,7,12,1,20,22,15,16,13,10,1147.96,1299.56,1473.36,1473.36,1237.56,1237.56,1473.36,1473.36
4,12,10,21,7,3,8,2,29,32,413.96,550.84,809.76,652.44,469.56,469.56,767.16,652.44
4,7,2,15,1,32,2,7,23,6,178.01,246.29,401.16,337.84,230.44,230.44,392.29,337.84
7,2,3,8,9,15,4,8,14,11,362.36,362.36,436.64,416.09,362.36,362.36,436.64,416.09
5,6,0,1,1,3,0,1,1,0,4.69,4.69,10.61,7.24,4.69,4.69,10.61,7.24
22,21,12,10,6,19,1,16,8,4,625.49,625.49,896.65,842.69,625.49,625.49,896.65,842.69
4,2,1,6,4,3,6,6,9,1,84.69,84.69,121.09,121.09,84.69,84.69,121.09,121.09
1,1,4,4,13,7,0,1,1,11,16.24,45.84,75.04,53.49,29.04,29.04,71.25,53.49
3,6,16,20,5,15,4,8,5,31,280.84,429.96,665.61,552.6,358.6,326.04,654.96,552.6
43,2,5,17,40,101,16,3,24,8,1147.05,1782.0,2612.16,2546.25,1511.89,1440.81,2612.16,2546.25
